tom-barry,yes
pat-breen,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
marcella-corcoran-kennedy,yes
joe-costello,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
pat-deering,yes
regina-doherty,yes
robert-dowds,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
charles-flanagan,yes
terence-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
martin-heydon,yes
phil-hogan,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
alan-kelly,yes
sean-kenny,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
michael-mccarthy,yes
shane-mcentee,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
dan-neville,yes
derek-nolan,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
joe-o-reilly,yes
NOT FOUND: WilliamPenrose,yes
john-perry,yes
ann-phelan,yes
john-paul-phelan,yes
pat-rabbitte,yes
michael-ring,yes
brendan-ryan,yes
alan-shatter,yes
sean-sherlock,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
richard-boyd-barrett,no
tommy-broughan,no
john-browne,no
dara-calleary,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
pearse-doherty,no
stephen-donnelly,no
martin-ferris,no
tom-fleming,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
joe-higgins,no
michael-p-kitt,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
mattie-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
michael-moynihan,no
catheine-murphy,no
denis-naughten,no
caoimhgh-n-o-caolain,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
maureen-o-sullivan,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
robert-troy,no
andrew-doyle,absent
anne-ferris,absent
billy-kelleher,absent
brendan-howlin,absent
brendan-smith,absent
brian-hayes,absent
brian-stanley,absent
ciaran-cannon,absent
clare-daly,absent
dessie-ellis,absent
dinny-mcginley,absent
eamon-o-c-iv,absent
enda-kenny,absent
fergus-o-dowd,absent
frances-fitzgerald,absent
gerald-nash,absent
gerry-adams,absent
james-bannon,absent
james-reilly,absent
jan-o-sullivan,absent
jimmy-deenihan,absent
joan-burton,absent
john-lyons,absent
john-o-mahony,absent
leo-varadkar,absent
lucinda-creighton,absent
luke-ming-flanagan,absent
michael-conaghan,absent
michael-lowry,absent
michael-mcgrath,absent
michael-noonen,absent
micheal-martin,absent
mick-wallace,absent
nicky-mcfadden,absent
noel-coonan,absent
noel-grealish,absent
paschal-donohoe,absent
patrick-nulty,absent
peadar-t-ib-n,absent
peter-fitzpatrick,absent
richard-bruton,absent
ruairi-quinn,absent
seamus-kirk,absent
sean-barrett,absent
sean-fleming,absent
sean-kyne,absent
timmy-dooley,absent
willie-penrose,absent
